Type,Basis_Of_Record,Master_Family,Master_Plant_Code,Master_Species,Scientific_Name,Taxon_ID,UT_Family,CO_Family,WY_Family,UT_Plant_Code,UT_Species,CO_Plant_Code,CO_Species,WY_Plant_Code,WY_Species,Add_Synonyms,Taxonomic_Notes,Master_Common_Name,Lifeform,Duration,Nativity,Trinomial,Trinomial_Description,Unique_Species,Unique_Species_Description,LU_Code,Wetland_Code,Wetland_Code_Description,Wetland_Code_Info_Source,Photosynthetic_Pathway
Dataset,HumanObservation,Nyctaginaceae,ABAR,Abronia argillosa,Abronia argillosa,181898,Nyctaginaceae,Nyctaginaceae,NA,ABAR,Abronia argillosa,ABAR,Abronia argillosa,NA,NA,NA,NA,Clay sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRARG,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABCO,Abies concolor,Abies concolor,181826,Pinaceae,NA,NA,ABCO,Abies concolor,NA,NA,NA,NA,NA,NA,White fir,Tree,Perennial,Native,0,FALSE,1,TRUE,ABICON,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABFR2,Abronia fragrans,Abronia fragrans,19557,Nyctaginaceae,Nyctaginaceae,NA,ABFR2,Abronia fragrans,ABFR2,Abronia fragrans,NA,NA,"Abronia fragrans var. fragrans, Abronia fragrans var. elliptica, Abronia nana var. harrisii.",Includes abronia elliptica,Fragrant sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRFRA,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABIES,Abies sp.,Abies,18031,Pinaceae,Pinaceae,Pinaceae,ABIES,Abies sp.,ABIES,Abies sp.,ABIES,Abies sp.,NA,NA,Fir,Tree,Perennial,Native,0,FALSE,0,FALSE,ABIES,UPL,Upland,NA,NA
Dataset,HumanObservation,Pinaceae,ABLA,Abies lasiocarpa,Abies lasiocarpa,181830,Pinaceae,NA,NA,ABLA,Abies lasiocarpa,NA,NA,NA,NA,NA,NA,Subalpine fir,Tree,Perennial,Native,0,FALSE,1,TRUE,ABILAS,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABNA,Abronia nana,Abronia nana,19565,Nyctaginaceae,Nyctaginaceae,NA,ABNA,Abronia nana,ABNA,Abronia nana,NA,NA,Abronia nana var. nana,NA,Low sand-verbena,Forb,Perennial,Native,0,FALSE,1,TRUE,ABRNAN,UPL,Upland,NA,NA
Dataset,HumanObservation,Nyctaginaceae,ABRON,Abronia sp.,Abronia,19550,Nyctaginaceae,Nyctaginaceae,Nyctaginaceae,ABRON,Abronia sp.,ABRON,Abronia sp.,ABRON,Abronia sp.,NA,NA,Sand verbena,Forb,Perennial,Native,0,FALSE,0,FALSE,ABRONIA,UPL,Upland,NA,NA
Dataset,HumanObservation,Malvaceae,ABTH,Abutilon theophrasti,Abutilon theophrasti,21674,Malvaceae,Malvaceae,Malvaceae,ABTH,Abutilon theophrasti,ABTH,Abutilon theophrasti,ABTH,Abutilon theophrasti,NA,NA,Velvetleaf,Forb,Annual,NonNative,0,FALSE,1,TRUE,ABUTHE,NA,NA,NA,NA
Dataset,HumanObservation,Asteraceae,ACAMP,Acamptopappus sp.,Acamptopappus,36441,Compositae,Asteraceae,Asteraceae,ACAMP,Acamptopappus sp.,ACAMP,Acamptopappus sp.,ACAMP,Acamptopappus sp.,NA,NA,Goldenhead,NA,NA,NA,0,FALSE,0,FALSE,ACAMPTOPAPPUS,NA,NA,NA,NA
Dataset,HumanObservation,Poaceae,ACAR14,Achnatherum aridum,Achnatherum aridum,507932,Gramineae,Poaceae,NA,STAR2,Stipa arida,ACAR14,Achnatherum aridum,NA,NA,NA,NA,Mormon needlegrass,Graminoid,Perennial,Native,0,FALSE,1,TRUE,STIARI,UPL,Upland,NA,C3
Dataset,HumanObservation,Poaceae,ACBL,Achnatherum x bloomeri,Achnatherum bloomeri,507933,Gramineae,Poaceae,NA,STBL4,Stipa x bloomeri,ACBL,Achnatherum x bloomeri,NA,NA,Stiporyzopsis x bloomeri,Hybrids between stipa hymenoides and other stipa species except stipa comata,Bloomer's ricegrass,Graminoid,Perennial,Native,1,TRUE,1,TRUE,STIXBLO,UPL,Upland,NA,C3
