"locationID","quadrat","decimalLongitude","decimalLatitude","comment","coordinateVerticalPrecision","coordinateHorizontalPrecision","verbatimCoordinateSystem","geodeticDatum"
"A01",50,-109.531397626766,38.7299188413018,"2 transects of 50 quads",2.3,1.9,"decimal degrees","WGS84"
"A01",51,-109.531450600417,38.7299403018419,"2 transects of 50 quads",2.1,1.6,"decimal degrees","WGS84"
"A01",1,-109.529389343351,38.7304897068726,"2 transects of 50 quads",3,1.6,"decimal degrees","WGS84"
"A01",100,-109.529751201196,38.7308245428358,"2 transects of 50 quads",2.7,1.5,"decimal degrees","WGS84"
"A02",1,-109.500884983829,38.7315586621406,"5 transects of about 20 quads",2.7,2.2,"decimal degrees","WGS84"
"A02",17,-109.50020099631,38.7316666911765,"5 transects of about 20 quads",2.9,2.2,"decimal degrees","WGS84"
"A02",18,-109.500200935891,38.7317062148662,"5 transects of about 20 quads",3.8,3,"decimal degrees","WGS84"
"A02",38,-109.500919990535,38.7316198368933,"5 transects of about 20 quads",2.7,2,"decimal degrees","WGS84"
"A02",39,-109.500909198879,38.7316725359468,"5 transects of about 20 quads",3.1,2.3,"decimal degrees","WGS84"
"A02",80,-109.50099398834,38.7317915948408,"5 transects of about 20 quads",3.3,2.3,"decimal degrees","WGS84"
"A02",81,-109.501007500336,38.7318207532178,"5 transects of about 20 quads",2.9,2.1,"decimal degrees","WGS84"
"A02",100,-109.500327502133,38.7318358288227,"5 transects of about 20 quads",4,2.8,"decimal degrees","WGS84"
"A02",59,-109.50021993657,38.731780188352,"5 transects of about 20 quads",2.7,2,"decimal degrees","WGS84"
"A02",58,-109.500207788782,38.7317478097045,"5 transects of about 20 quads",3.9,2.8,"decimal degrees","WGS84"
"A03",1,-109.647245004375,38.7888744921947,"2 transects of 50 quadrats",4.5,3.1,"decimal degrees","WGS84"
"A03",100,-109.647061832375,38.7887858003816,"2 transects of 50 quadrats",5.5,2.6,"decimal degrees","WGS84"
"A03",51,-109.645393479254,38.7898999182104,"2 transects of 50 quadrats",2.6,1.6,"decimal degrees","WGS84"
"A03",50,-109.645409805909,38.789990243177,"2 transects of 50 quadrats",2.9,1.7,"decimal degrees","WGS84"
"A05",1,-109.550896971003,38.7200563521176,"2 transects of 50 quadrats",4.1,2.9,"decimal degrees","WGS84"
"A05",51,-109.55160446393,38.7187375046349,"2 transects of 50 quadrats",2.2,1.5,"decimal degrees","WGS84"
"A05",100,-109.55157338707,38.7187054336393,"2 transects of 50 quadrats",2,1.5,"decimal degrees","WGS84"
"A06",1,-109.598776661745,38.7815891984546,"2 transects of 50 quadrats",3.6,2.4,"decimal degrees","WGS84"
"A06",50,-109.599897318553,38.7826143861599,"2 transects of 50 quadrats",2.7,1.8,"decimal degrees","WGS84"
"A06",51,-109.599813804954,38.7826329476132,"2 transects of 50 quadrats",2.6,1.9,"decimal degrees","WGS84"
"A06",100,-109.598686576788,38.781692910972,"2 transects of 50 quadrats",3,2.4,"decimal degrees","WGS84"
"A08",1,-109.617759724264,38.6994771652185,"2 transects of 50 quadrats",5,3.3,"decimal degrees","WGS84"
"A08",51,-109.617661264529,38.700858429418,"2 transects of 50 quadrats",2.4,2.1,"decimal degrees","WGS84"
"A08",50,-109.61775311555,38.7008112232246,"2 transects of 50 quadrats",2.4,3,"decimal degrees","WGS84"
"A09",1,-109.543277094185,38.7292155541009,"2 transects of 50 quadrats",2.9,1.6,"decimal degrees","WGS84"
