"Visit_Year","Species","Species_Area_m2","Area_Sampled_m2","Total_Cover_pct"
2010,"CORA",347.5,6000,5.79166666666667
2010,"SATR12",167.5,6000,2.79166666666667
2010,"EPVI",120,6000,2
2010,"JUOS",85,6000,1.41666666666667
2010,"KRLA",42.5,6000,0.708333333333333
2011,"CORA",325,6000,5.41666666666667
2011,"JUOS",107.5,6000,1.79166666666667
2011,"EPVI",100,6000,1.66666666666667
2011,"BRTE",90,6000,1.5
2011,"PLPA2",40,6000,0.666666666666667
2012,"CORA",407.5,6000,6.79166666666667
2012,"EPVI",120,6000,2
2012,"JUOS",105,6000,1.75
2012,"SPCR",52.5,6000,0.875
2012,"OPUNT",47.5,6000,0.791666666666667
2013,"CORA",245,2000,12.25
2013,"JUOS",37.5,2000,1.875
2013,"OPUNT",32.5,2000,1.625
2013,"EPVI",25,2000,1.25
2013,"QUHA3",5,2000,0.25
2014,"CORA",385,6000,6.41666666666667
2014,"VUOC",92.5,6000,1.54166666666667
2014,"JUOS",75,6000,1.25
2014,"EPVI",70,6000,1.16666666666667
2014,"BRTE",60,6000,1
2015,"CORA",475,6000,7.91666666666667
2015,"PLPA2",225,6000,3.75
2015,"BRTE",140,6000,2.33333333333333
2015,"EPVI",85,6000,1.41666666666667
2015,"KRLA",52.5,6000,0.875
2016,"CORA",285,2000,14.25
2016,"EPVI",45,2000,2.25
2016,"JUOS",25,2000,1.25
2016,"OPUNT",20,2000,1
2016,"BRTE",17.5,2000,0.875
2017,"CORA",395,6000,6.58333333333333
2017,"BRTE",317.5,6000,5.29166666666667
2017,"PLPA2",100,6000,1.66666666666667
2017,"JUOS",97.5,6000,1.625
2017,"EPVI",47.5,6000,0.791666666666667
2018,"CORA",377.5,6000,6.29166666666667
2018,"JUOS",120,6000,2
2018,"BRTE",72.5,6000,1.20833333333333
2018,"EPVI",42.5,6000,0.708333333333333
2018,"KRLA",35,6000,0.583333333333333
2019,"CORA",425,6000,7.08333333333333
2019,"BRTE",397.5,6000,6.625
2019,"VUOC",105,6000,1.75
2019,"JUOS",102.5,6000,1.70833333333333
2019,"PLPA2",60,6000,1
2021,"CORA",450,6000,7.5
2021,"JUOS",80,6000,1.33333333333333
2021,"EPVI",52.5,6000,0.875
2021,"KRLA",50,6000,0.833333333333333
2021,"OPUNT",30,6000,0.5
2022,"CORA",410,6000,6.83333333333333
2022,"BRTE",245,6000,4.08333333333333
2022,"VUOC",100,6000,1.66666666666667
2022,"SATR12",87.5,6000,1.45833333333333
2022,"EPVI",75,6000,1.25
2023,"CORA",400,6000,6.66666666666667
2023,"BRTE",317.5,6000,5.29166666666667
2023,"EPVI",65,6000,1.08333333333333
2023,"JUOS",57.5,6000,0.958333333333333
2023,"VUOC",37.5,6000,0.625
