"Visit_Year","Species","Species_Area_m2","Area_Sampled_m2","Total_Cover_pct"
2010,"SATR12",167.5,6000,2.79166666666667
2011,"BRTE",90,6000,1.5
2011,"PLPA2",40,6000,0.666666666666667
2011,"SATR12",2.5,6000,0.0416666666666667
2012,"BRTE",35,6000,0.583333333333333
2012,"PLPA2",2.5,6000,0.0416666666666667
2012,"SATR12",0,6000,0
2013,"SATR12",0,2000,0
2014,"BRTE",60,6000,1
2014,"PLPA2",32.5,6000,0.541666666666667
2014,"SATR12",42.5,6000,0.708333333333333
2015,"BRTE",140,6000,2.33333333333333
2015,"PLPA2",225,6000,3.75
2015,"SATR12",12.5,6000,0.208333333333333
2016,"BRTE",17.5,2000,0.875
2016,"PLPA2",17.5,2000,0.875
2017,"BRTE",317.5,6000,5.29166666666667
2017,"PLPA2",100,6000,1.66666666666667
2018,"BRTE",72.5,6000,1.20833333333333
2018,"PLPA2",10,6000,0.166666666666667
2018,"SATR12",7.5,6000,0.125
2019,"BRTE",397.5,6000,6.625
2019,"PLPA2",60,6000,1
2019,"SATR12",2.5,6000,0.0416666666666667
2021,"BRTE",25,6000,0.416666666666667
2021,"SATR12",0,6000,0
2022,"BRTE",245,6000,4.08333333333333
2022,"PLPA2",27.5,6000,0.458333333333333
2022,"SATR12",87.5,6000,1.45833333333333
2023,"BRTE",317.5,6000,5.29166666666667
2023,"PLPA2",0,6000,0
