"Visit_Year","Species","Species_Area_m2","Area_Sampled_m2","Total_Cover_pct"
2010,"SATR12",165,6000,2.75
2010,"EPVI",65,6000,1.08333333333333
2010,"KRLA",42.5,6000,0.708333333333333
2010,"ACHY",10,6000,0.166666666666667
2010,"ARFI2",10,6000,0.166666666666667
2011,"BRTE",85,6000,1.41666666666667
2011,"EPVI",47.5,6000,0.791666666666667
2011,"KRLA",37.5,6000,0.625
2011,"PLPA2",37.5,6000,0.625
2011,"STIPA",22.5,6000,0.375
2012,"EPVI",72.5,6000,1.20833333333333
2012,"SPCR",52.5,6000,0.875
2012,"KRLA",45,6000,0.75
2012,"ACHY",35,6000,0.583333333333333
2012,"BRTE",35,6000,0.583333333333333
2014,"VUOC",90,6000,1.5
2014,"KRLA",60,6000,1
2014,"BRTE",52.5,6000,0.875
2014,"SATR12",40,6000,0.666666666666667
2014,"EPVI",35,6000,0.583333333333333
2015,"PLPA2",205,6000,3.41666666666667
2015,"BRTE",122.5,6000,2.04166666666667
2015,"KRLA",52.5,6000,0.875
2015,"EPVI",35,6000,0.583333333333333
2015,"VUOC",35,6000,0.583333333333333
2017,"BRTE",300,6000,5
2017,"PLPA2",92.5,6000,1.54166666666667
2017,"KRLA",37.5,6000,0.625
2017,"VUOC",37.5,6000,0.625
2017,"EPVI",25,6000,0.416666666666667
2018,"BRTE",72.5,6000,1.20833333333333
2018,"KRLA",35,6000,0.583333333333333
2018,"ACHY",7.5,6000,0.125
2018,"CORA",7.5,6000,0.125
2018,"EPVI",7.5,6000,0.125
2019,"BRTE",350,6000,5.83333333333333
2019,"VUOC",77.5,6000,1.29166666666667
2019,"KRLA",27.5,6000,0.458333333333333
2019,"PLPA2",25,6000,0.416666666666667
2019,"CRCR3",15,6000,0.25
2021,"KRLA",50,6000,0.833333333333333
2021,"BRTE",25,6000,0.416666666666667
2021,"EPVI",15,6000,0.25
2021,"ACHY",7.5,6000,0.125
2021,"PLJA",7.5,6000,0.125
2022,"BRTE",210,6000,3.5
2022,"SATR12",85,6000,1.41666666666667
2022,"VUOC",67.5,6000,1.125
2022,"ERTR13",42.5,6000,0.708333333333333
2022,"EPVI",35,6000,0.583333333333333
2023,"BRTE",265,6000,4.41666666666667
2023,"KRLA",35,6000,0.583333333333333
2023,"EPVI",32.5,6000,0.541666666666667
2023,"VUOC",30,6000,0.5
2023,"OEPA",10,6000,0.166666666666667
