taxonID,taxaCode,scientificName_SEUG,scientificName_ITIS,taxonRank,update_date,kingdom,class,order,family,genus,specificEpithet,vernacularName
ITIS:19557,ABRFRA,Abronia fragrans,Abronia fragrans,species,2012-06-27,Plantae,Magnoliopsida,Caryophyllales,Nyctaginaceae,Abronia,fragrans,sweet sand verbena
ITIS:28749,ACENEG,Acer negundo,Acer negundo,species,2011-12-08,Plantae,Magnoliopsida,Sapindales,Sapindaceae,Acer,negundo,western boxelder
ITIS:40371,AGRCRI,Agropyron cristatum,Agropyron cristatum,species,2010-11-30,Plantae,Magnoliopsida,Poales,Poaceae,Agropyron,cristatum,crested wheatgrass
ITIS:42682,ALLMAC,Allium macropetalum,Allium macropetalum,species,2011-02-24,Plantae,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,macropetalum,largeflower onion
ITIS:42687,ALLNEV,Allium nevadense,Allium nevadense,species,2011-02-24,Plantae,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,nevadense,Nevada onion
ITIS:42634,ALLSPP,Allium,Allium,genus,2011-02-24,NA,NA,NA,NA,NA,,wild onion
ITIS:20715,AMASPP,Amaranthus,Amaranthus,genus,2011-08-30,NA,NA,NA,NA,NA,,pigweed
ITIS:36497,AMBACA,Ambrosia acanthicarpa,Ambrosia acanthicarpa,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Ambrosia,acanthicarpa,sand bursage
ITIS:25121,AMEUTA,Amelanchier utahensis,Amelanchier utahensis,species,2011-12-08,Plantae,Magnoliopsida,Rosales,Rosaceae,Amelanchier,utahensis,western serviceberry
ITIS:30150,AMSTOM,Amsonia tomentosa,Amsonia tomentosa,species,2012-05-31,Plantae,Magnoliopsida,Gentianales,Apocynaceae,Amsonia,tomentosa,woolly bluestar
ITIS:42777,ANDBRE,Androstephium breviflorum,Androstephium breviflorum,species,2011-02-24,Plantae,Magnoliopsida,Asparagales,Asparagaceae,Androstephium,breviflorum,pink funnel lily
ITIS:22671,ARABSP,Arabis,Arabis,genus,2011-08-30,NA,NA,NA,NA,NA,,rockcress
ITIS:509594,ARAPER,Arabis perennans,Boechera perennans,species,2011-08-30,Plantae,Magnoliopsida,Brassicales,Brassicaceae,Boechera,perennans,perennial rockcress
ITIS:509595,ARAPUL,Arabis pulchra,Boechera pulchra,species,2011-08-30,Plantae,Magnoliopsida,Brassicales,Brassicaceae,Boechera,pulchra,beautiful rockcress
ITIS:23512,ARCPAT,Arctostaphylos patula,Arctostaphylos patula,species,2012-05-31,Plantae,Magnoliopsida,Ericales,Ericaceae,Arctostaphylos,patula,greenleaf manzanita
ITIS:512989,AREFEN,Arenaria fendleri,Eremogone fendleri,species,2011-08-30,Plantae,Magnoliopsida,Caryophyllales,Caryophyllaceae,Eremogone,fendleri,Fendlers sandwort
ITIS:41429,ARIPUR,Aristida purpurea,Aristida purpurea,species,2010-11-30,Plantae,Magnoliopsida,Poales,Poaceae,Aristida,purpurea,purple 3 awn
ITIS:35452,ARTBIG,Artemisia bigelovii,Artemisia bigelovii,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,bigelovii,Bigelow sage
ITIS:183748,ARTCAM,Artemisia campestris,Artemisia campestris,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,campestris,wormwood sagewort
ITIS:35462,ARTDRA,Artemisia dracunculus,Artemisia dracunculus,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,dracunculus,wormwood
ITIS:35463,ARTFIL,Artemisia filifolia,Artemisia filifolia,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,filifolia,silvery wormwood
ITIS:35474,ARTLUD,Artemisia ludoviciana,Artemisia ludoviciana,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,ludoviciana,white sagebrush
ITIS:519062,ARTSPI,Artemisia spinescens,Picrothamnus desertorum,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Picrothamnus,desertorum,bud sagebrush
ITIS:35498,ARTTRI,Artemisia tridentata,Artemisia tridentata,species,2010-10-05,Plantae,Magnoliopsida,Asterales,Asteraceae,Artemisia,tridentata,big sagebush
ITIS:30247,ASCASP,Asclepias asperula,Asclepias asperula,species,2012-05-31,Plantae,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,asperula,spider milkweed
ITIS:30283,ASCMAC,Asclepias macrosperma,Asclepias macrosperma,species,2012-05-31,Plantae,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,macrosperma,largeseed milkweed
ITIS:30304,ASCSPE,Asclepias speciosa,Asclepias speciosa,species,2012-05-31,Plantae,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,speciosa,showy milkweed
ITIS:30240,ASCSPP,Asclepias,Asclepias,genus,2012-05-31,NA,NA,NA,NA,NA,,milkweed
